FILE NAME        SIZE   DESCRIPTION
pc_6.f14         3584   Lothar Bongartz: 6x14 matrix font
pc_7.f14         3584   Lothar Bongartz: 7x16 matrix font
persian.f14      3584   Font for Iranian incl digits at 128:255
polish.f14       3584   L. Bongartz polish.Zz+dot,Ll+slash. 
reverse.f14      3584   Inverse video but otherwise regular font
rmrkbold.f14     3584   Rimrock Software: full bold font
roman.f14        3584   Another roman/latin font
runic.f14        3584   Vickings font for lower case chars
russian.f14      3584   Russian font; chars 128-175, 224-239
sanserif.f14     3584   Hercules+ Card font: SanSerif chars
script.f14       3584   Hercules+ font: Handwriting chars.
security.f14     3584   VT securities & exchange / Latin-1
slant.f14        3584   Hercules+ font: 45/90 deg font.
smalcaps.f14     3584   small caps fonts at height 14      
smcapnum.f14     3584   Small capitals + book-style numerals
spranto.f14      3584   Esperanto font (skewed) at height 14
standard.f14     3584   Hercules+ font: Standard rom like chars
stretch.f14      3584   Wide font
tex-math.f14     3584   La/TeX font: math, symbols, greek, etc.
thai.f14         3584   Thai characters font. [1-127]==[128-255]
thincaps.f14     3584   Thin small caps font at height 14    
thindemo.f14     3584   Rimrock Software: A thin demo font
thinscrp.f14     3584   Thin script like font at height 14   
thin_ss.f14      3584   L. Bongartz: Thin sanserif font
vga-rom.f14      3584   VGA builtin font at height 14      
apeaus.f16       4096   Persian-English-Arabic-Urdu font
armenian.f16     4096   Armenian font; chars 128-175, 224-253
art.f16          4096   Artistic letters, styled symbols font  
bigserif.f16     4096   Hercules+ font: Big SanSerif chars
boxround.f16     4096   Lothar Bongartz: 
cntdown.f16      4096   Lothar Bongartz: Broadway like font
cp111.f16        4096   Greek code page at height 16
cp112.f16        4096   Turkish code page at height 16
cp113.f16        4096   Yugoslavian code page at height 16
cp437.f16        4096   United States code page at height 16  
cp850.f16        4096   Multilingual code page at height 16   
cp851.f16        4096   Greek code page at height 16
cp852.f16        4096   Cyrillic code page at height 16     
cp853.f16        4096   Turkish/LATIN II code page at height 16
cp860.f16        4096   Portuguese code page at height 16    
cp861.f16        4096   Icelandic code page at height 16
cp862.f16        4096   Hebrew code page at height 16      
cp863.f16        4096   Canadian-French code page at height 16 
cp864.f16        4096   Arabic code page (DOS 5) at height  
cp865.f16        4096   Nordic code page at height 16      
cp866.f16        4096   Rimrock Software: Cyrillic code page 
cp880.f16        4096   Cyrillic 8859-5 code page at height 16 
cp881.f16        4096   Latin #1 code page at height 16     
cp882.f16        4096   Latin #2 code page at height 16     
cp883.f16        4096   Latin #3 code page at ht 16       
cp884.f16        4096   Latin #4 code page at height 16     
cp885.f16        4096   Latin #5 code page at height 16     
cyrill1.f16      4096   Variations on Cyrillic font (1/3)    
cyrill2.f16      4096   Variations on Cyrillic font (2/3)    
cyrill3.f16      4096   Variations on Cyrillic font (3/3)    
decorate.f16     4096   Decorative chars/symbols font      
grckssrf.f16     4096   Greek sanserif, with curved double lines
greek.f16        4096   Modern Greek ANSI font at height 16   
hack4th.f16      4096   M. Marcelais Character tiles for Nethack
handugly.f16     4096   Very bad hand writing font at height 16 
handwrit.f16     4096   Hand writing like font at height 16   
heb-7bit.f16     4096   Low Ascii Heb: Back-Quote to z (SINIT)
heb-bold.f16     4096   Bold font with Hebrew chars for lcds.
hebboldk.f16     4096   Hebrew Block Bold chars
hebktav1.f16     4096   Hebrew script (Ktav Yad) thin letters  
hebktav2.f16     4096   Hebrew script (Ktav Yad) thick letters 
heblarge.f16     4096   Hebrew large bold font at height 16   
hebugly.f16      4096   Huge and ugly Hebrew font at height 16 
hebyogi.f16      4096   DOS CP 862 improved (?) by Yossi Gil
kana.f16         4096   Roman/japanese katakana fnt (from X11R5)
lbitalic.f16     4096   Lothar Bongartz's italics (European inc)
lb_large.f16     4096   L. Bongartz:  Very large font.
lb_ocr.f16       4096   Lothar Bongartz: OCR (?) like font
macntosh.f16     4096   Apple's Macintosh style font height 16 
modern.f16       4096   Straight and simple font at height 16  
old-engl.f16     4096   Old English font at height 16      
oldeng-f.f16     4096   Fancy old English font. Not all meta's
persian.f16      4096   Font for Iranian incl digits at 128:255
police.f16       4096   Like thinscrp.f14 but at height 16
